"","OfferID","CategoryID","ShopID","PaymentID","BankID","PaymentMode","MerchantID","LMDID","OfferTitle","OfferDesc","TnC1","TnC2","TnC3","TnC4","TnC5","GeneralOfferTnC","Online_Offline","OfferImgUrl1","OfferImgUrl2","OfferImgUrl3","OfferImpactIndex","OfferStartDate","OfferEndDate","CouponType","OfferType","OfferActiveFlag","OfferAddDate","CategoriesCSV","Bank","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","ShopAddDate","Bank_Name","Merchant_name","Merchant_Alexa_rank","Merchant_type","CategoryName","ParentID"
"1",26000,50000,3200,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","Inside Leela Info Park,  Site No 5, Kakkanad Kochi - 682030?-","","","Kochi","",10.0037578,76.3579401,"Kerala","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"2",26000,50000,3201,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","LULU INTERNATION SHOPPING Mall Pvt .Ltd,  34/ 1000, N.H 47, 
EDAPALLY, COCHIN -682024-","","","Kochi","",10.0284309,76.3084569,"Kerala","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"3",26000,50000,3202,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","NO 67/71,KRISHNASWAMY ROAD,COIMBATORE-641001-","","","Coimbatore","",10.9960364,77.0055259,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"4",26000,50000,3203,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","TOWER SERVEY NO 10/1840/26,SOWRIPALAYAM,COIMBATORE-641045-","","","Coimbatore","",10.9984399,76.9931074,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"5",26000,50000,3204,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","Race Course RoadNo:14, Thomas ParkCOIMBATORE641018-","","","Coimbatore","",11.0024758,76.9808026,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"6",26000,50000,3206,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","No-1, Chairman rajai nagar,mettupalayam road,coimbatore-641043-","","","Coimbatore","",11.0276112,76.951274,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"7",26000,50000,3207,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","FUN REPUBLIC MALL,LOWER GROUND FLOOR ,NEAR RELIANCE HYPER,PEELAMEDU,COIMBATORE-641004-","","","Coimbatore","",11.0331511,77.02766,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"8",26000,50000,3211,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","# 89 Abirami Nagar, GST Road, Urapakkam, Chengalpet-603202-","","","Chennai","",11.4319974,79.0130706,"Tamil Nadu","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"9",26000,50000,3213,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","Near Bombay Tiffanys, Kantharaj URS Road, Mysore, Karnataka - 570004","","","Mysore","",12.2950963,76.6438432,"Karnataka","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
"10",26000,50000,3214,1500,5,"",3000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","","Cafe Coffee Day","Hotel Ginger, In Hotel Ginger, Vasanth Mahal Road, Nazarbad, Mysore - 570010","","","Mysore","",12.304055,76.6649583,"Karnataka","","",1,1,1,1,1,1,1,"20-01-2016","HSBC","Cafe Coffee Day","0","Offline","Food and Beverages",0
